task_id,attempt,benchmark,benchmark_version,repo,repo_label,language,agent,model_version,condition,status,runtime_sec,token_input,token_output,estimated_cost,cache_creation_input_tokens,cache_read_input_tokens,cache_creation_ephemeral_5m_input_tokens,cache_creation_ephemeral_1h_input_tokens,bedrock_quota_tokens,bedrock_cost_usd,tool_calls,shell_commands,file_reads,search_actions,files_edited,patch_size,first_file_opened,first_file_edited,first_test_command,bitloops_context_tokens,evaluator_result
sharkdp__bat-562,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,sharkdp/bat,sharkdp,sharkdp,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,17.538,59,607,0.116012,11062,62809,11062,0,14156,0.116012,4,,,0,1,607,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__axum-1119,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/axum,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,181.192,323,6764,0.6199216499999999,21129,507758,21129,0,55272,0.55665025,39,,,0,2,6316,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__axum-1730,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/axum,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,292.489,26,10728,1.1726782500000001,49766,929491,49766,0,103432,1.044113,35,,,0,1,955,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__axum-1934,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/axum,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,151.507,2983,4538,0.5594835,24508,555887,24508,0,50181,0.5594835,23,,,0,2,1462,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__axum-2096,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/axum,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,420.78,2644,15744,1.1664616999999997,42491,702311,42491,0,123855,1.02354425,43,,,0,3,9605,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__axum-682,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/axum,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,26.61,10,1241,0.15495875,9653,127105,9653,0,15868,0.15495875,7,,,0,2,1163,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__axum-691,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/axum,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,84.425,49,3087,0.303716,14838,267117,14838,0,30322,0.303716,14,,,0,2,1709,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__axum-734,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/axum,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,unsolved,45.165,11,2758,0.24248500000000003,14182,169685,14182,0,27983,0.242485,8,,,0,1,2764,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": false, ""unresolved"": true, ""error"": false}"
tokio-rs__tokio-4384,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/tokio,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,unsolved,203.841,231,8942,0.9175768000000002,29485,594473,29485,0,74426,0.70622275,45,,,0,6,2497,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": false, ""unresolved"": true, ""error"": false}"
tokio-rs__tokio-4867,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/tokio,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,28.468,8,1182,0.14077425,10127,95781,10127,0,16045,0.14077425,5,,,0,1,466,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__tokio-4898,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/tokio,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,unsolved,43.402,10,1513,0.19091275,12907,144738,12907,0,20482,0.19091275,8,,,0,2,995,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": false, ""unresolved"": true, ""error"": false}"
tokio-rs__tokio-6551,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/tokio,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,61.654,49,2994,0.30647874999999997,15457,269555,15457,0,30476,0.30647875,16,,,0,2,1542,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__tokio-6603,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/tokio,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,77.378,172,3142,0.30818875,16835,247120,16835,0,32717,0.30818875,13,,,0,2,1454,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__tokio-6724,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/tokio,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,63.1,11,2980,0.25074399999999997,15202,162353,15202,0,30113,0.250744,9,,,0,2,3823,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__tokio-6752,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/tokio,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,57.108,1133,2845,0.2872355,14954,233966,14954,0,30312,0.2872355,13,,,0,2,1197,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__tokio-6838,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/tokio,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,14.058,341,775,0.10328475000000001,9777,42197,9777,0,13993,0.10328475000000001,4,,,0,2,1172,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
tokio-rs__tokio-7139,1,swebench_multilingual,datasets/swebench_multilingual.test.all.jsonl|split=test,tokio-rs/tokio,tokio-rs,rust,claude_code,eu.anthropic.claude-opus-4-6-v1,baseline,solved,66.27,16,3219,0.29407525,13509,258178,13509,0,29620,0.29407525,13,,,0,2,1635,,,,,"{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
